ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	228	0	0	0.000000	1.372807	1.372807	0.000000	0.000000	0	0	0
2	84	0	0	0.000000	1.857143	1.857143	0.000000	0.000000	0	0	0
3	86	0	0	0.000000	2.860465	2.860465	0.000000	0.000000	0	0	0
4	121	0	0	0.000000	1.140496	1.140496	0.000000	0.000000	0	0	0
5	136	0	0	0.000000	2.058824	2.058824	0.000000	0.000000	0	0	0
6	147	0	0	0.000000	3.299320	3.299320	0.000000	0.000000	0	0	0
7	92	0	0	0.000000	2.934783	2.934783	0.000000	0.000000	0	0	0
8	146	0	0	0.000000	1.465753	1.465753	0.000000	0.000000	0	0	0
9	92	0	0	0.000000	2.771739	2.771739	0.000000	0.000000	0	0	0
10	95	0	0	0.000000	2.326316	2.326316	0.000000	0.000000	0	0	0
11	116	0	0	0.000000	1.301724	1.301724	0.000000	0.000000	0	0	0
12	73	0	0	0.000000	2.767123	2.767123	0.000000	0.000000	0	0	0
13	463	0	0	0.000000	1.708423	1.708423	0.000000	0.000000	0	0	0
14	92	0	0	0.000000	2.608696	2.608696	0.000000	0.000000	0	0	0
15	63	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
16	106	0	0	0.000000	1.877358	1.877358	0.000000	0.000000	0	0	0
17	70	0	0	0.000000	1.842857	1.842857	0.000000	0.000000	0	0	0
18	533	0	0	0.000000	4.604128	4.433396	0.000000	0.000000	0	0	0
19	203	0	0	0.000000	2.221675	2.221675	0.000000	0.000000	0	0	0
20	70	0	0	0.000000	1.885714	1.885714	0.000000	0.000000	0	0	0
21	70	0	0	0.000000	2.028571	2.028571	0.000000	0.000000	0	0	0
22	118	0	0	0.000000	2.957627	2.957627	0.000000	0.000000	0	0	0
23	113	0	0	0.000000	1.911504	1.911504	0.000000	0.000000	0	0	0
24	350	0	0	0.000000	1.851429	1.851429	0.000000	0.000000	0	0	0
25	66	0	0	0.000000	1.954545	1.954545	0.000000	0.000000	0	0	0
26	71	0	0	0.000000	1.830986	1.830986	0.000000	0.000000	0	0	0
27	270	0	0	0.000000	1.907407	1.907407	0.000000	0.000000	0	0	0
28	70	0	0	0.000000	1.885714	1.885714	0.000000	0.000000	0	0	0
29	68	0	0	0.000000	1.661765	1.661765	0.000000	0.000000	0	0	0
30	84	0	0	0.000000	1.654762	1.654762	0.000000	0.000000	0	0	0
31	70	0	0	0.000000	1.314286	1.314286	0.000000	0.000000	0	0	0
32	71	0	0	0.000000	1.915493	1.915493	0.000000	0.000000	0	0	0
33	70	0	0	0.000000	1.914286	1.914286	0.000000	0.000000	0	0	0
34	70	0	0	0.000000	1.828571	1.828571	0.000000	0.000000	0	0	0
35	194	0	0	0.000000	1.726804	1.726804	0.000000	0.000000	0	0	0
36	126	0	0	0.000000	1.111111	1.111111	0.000000	0.000000	0	0	0
37	87	0	0	0.000000	2.931034	2.931034	0.000000	0.000000	0	0	0
38	70	0	0	0.000000	1.928571	1.928571	0.000000	0.000000	0	0	0
39	64	0	0	0.000000	1.562500	1.562500	0.000000	0.000000	0	0	0
40	107	0	0	0.000000	1.560748	1.560748	0.000000	0.000000	0	0	0
41	126	0	0	0.000000	1.380952	1.380952	0.000000	0.000000	0	0	0
42	139	0	0	0.000000	2.517986	2.517986	0.000000	0.000000	0	0	0
43	70	0	0	0.000000	1.485714	1.485714	0.000000	0.000000	0	0	0
44	62	0	0	0.000000	1.532258	1.532258	0.000000	0.000000	0	0	0
45	70	0	0	0.000000	2.214286	2.214286	0.000000	0.000000	0	0	0
46	74	0	0	0.000000	1.945946	1.945946	0.000000	0.000000	0	0	0
47	70	0	0	0.000000	1.585714	1.585714	0.000000	0.000000	0	0	0
48	129	0	0	0.000000	2.116279	2.116279	0.000000	0.000000	0	0	0
49	120	0	0	0.000000	1.466667	1.466667	0.000000	0.000000	0	0	0
50	137	0	0	0.000000	1.897810	1.897810	0.000000	0.000000	0	0	0
51	70	0	0	0.000000	2.042857	2.042857	0.000000	0.000000	0	0	0
52	90	0	0	0.000000	2.088889	2.088889	0.000000	0.000000	0	0	0
53	132	0	0	0.000000	3.106061	3.106061	0.000000	0.000000	0	0	0
54	96	0	0	0.000000	1.447917	1.447917	0.000000	0.000000	0	0	0
55	75	0	0	0.000000	2.133333	2.133333	0.000000	0.000000	0	0	0
56	70	0	0	0.000000	1.242857	1.242857	0.000000	0.000000	0	0	0
57	70	0	0	0.000000	1.800000	1.800000	0.000000	0.000000	0	0	0
58	166	0	0	0.000000	1.560241	1.560241	0.000000	0.000000	0	0	0
59	160	0	0	0.000000	1.312500	1.312500	0.000000	0.000000	0	0	0
60	64	0	0	0.000000	1.968750	1.968750	0.000000	0.000000	0	0	0
61	159	0	0	0.000000	2.383648	2.383648	0.000000	0.000000	0	0	0
62	68	0	0	0.000000	1.911765	1.911765	0.000000	0.000000	0	0	0
63	133	0	0	0.000000	1.947368	1.947368	0.000000	0.000000	0	0	0
64	184	0	0	0.000000	1.663043	1.663043	0.000000	0.000000	0	0	0
65	75	0	0	0.000000	2.333333	2.333333	0.000000	0.000000	0	0	0
66	70	0	0	0.000000	1.414286	1.414286	0.000000	0.000000	0	0	0
67	70	0	0	0.000000	1.857143	1.857143	0.000000	0.000000	0	0	0
68	162	0	0	0.000000	2.382716	2.382716	0.000000	0.000000	0	0	0
69	115	0	0	0.000000	1.643478	1.643478	0.000000	0.000000	0	0	0
70	88	0	0	0.000000	2.170455	2.170455	0.000000	0.000000	0	0	0
71	101	0	0	0.000000	1.891089	1.891089	0.000000	0.000000	0	0	0
72	146	0	0	0.000000	1.917808	1.917808	0.000000	0.000000	0	0	0
73	130	0	0	0.000000	1.038462	1.038462	0.000000	0.000000	0	0	0
