ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
110	70	0	0	0.000000	2.057143	2.057143	0.000000	0.000000	0	0	0
111	108	0	0	0.000000	2.583333	2.583333	0.000000	0.000000	0	0	0
112	70	0	0	0.000000	1.971429	1.971429	0.000000	0.000000	0	0	0
113	87	0	0	0.000000	1.551724	1.551724	0.000000	0.000000	0	0	0
114	70	0	0	0.000000	1.485714	1.485714	0.000000	0.000000	0	0	0
115	69	0	0	0.000000	1.927536	1.927536	0.000000	0.000000	0	0	0
116	70	0	0	0.000000	1.771429	1.771429	0.000000	0.000000	0	0	0
117	68	0	0	0.000000	1.941176	1.941176	0.000000	0.000000	0	0	0
118	114	0	0	0.000000	1.157895	1.157895	0.000000	0.000000	0	0	0
119	96	0	0	0.000000	2.541667	2.541667	0.000000	0.000000	0	0	0
120	84	0	0	0.000000	2.059524	2.059524	0.000000	0.000000	0	0	0
121	70	0	0	0.000000	1.757143	1.757143	0.000000	0.000000	0	0	0
122	70	0	0	0.000000	1.771429	1.771429	0.000000	0.000000	0	0	0
123	109	0	0	0.000000	1.871560	1.871560	0.000000	0.000000	0	0	0
124	111	0	0	0.000000	1.099099	1.099099	0.000000	0.000000	0	0	0
125	70	0	0	0.000000	1.385714	1.385714	0.000000	0.000000	0	0	0
126	68	0	0	0.000000	1.588235	1.588235	0.000000	0.000000	0	0	0
127	70	0	0	0.000000	1.685714	1.685714	0.000000	0.000000	0	0	0
128	70	0	0	0.000000	1.442857	1.442857	0.000000	0.000000	0	0	0
129	82	0	0	0.000000	1.524390	1.524390	0.000000	0.000000	0	0	0
130	158	0	0	0.000000	2.841772	2.841772	0.000000	0.000000	0	0	0
131	85	0	0	0.000000	2.470588	2.470588	0.000000	0.000000	0	0	0
132	93	0	0	0.000000	1.505376	1.505376	0.000000	0.000000	0	0	0
133	70	0	0	0.000000	2.485714	2.485714	0.000000	0.000000	0	0	0
134	137	0	0	0.000000	1.927007	1.927007	0.000000	0.000000	0	0	0
135	113	0	0	0.000000	1.637168	1.637168	0.000000	0.000000	0	0	0
136	70	0	0	0.000000	1.585714	1.585714	0.000000	0.000000	0	0	0
137	70	0	0	0.000000	1.585714	1.585714	0.000000	0.000000	0	0	0
138	135	0	0	0.000000	1.311111	1.311111	0.000000	0.000000	0	0	0
139	109	0	0	0.000000	1.284404	1.284404	0.000000	0.000000	0	0	0
140	235	0	0	0.000000	1.408511	1.408511	0.000000	0.000000	0	0	0
141	70	0	0	0.000000	1.742857	1.742857	0.000000	0.000000	0	0	0
142	67	0	0	0.000000	2.119403	2.119403	0.000000	0.000000	0	0	0
143	70	0	0	0.000000	1.742857	1.742857	0.000000	0.000000	0	0	0
144	90	0	0	0.000000	1.455556	1.455556	0.000000	0.000000	0	0	0
145	92	0	0	0.000000	2.119565	2.119565	0.000000	0.000000	0	0	0
146	118	0	0	0.000000	1.406780	1.406780	0.000000	0.000000	0	0	0
147	111	0	0	0.000000	1.306306	1.306306	0.000000	0.000000	0	0	0
148	70	0	0	0.000000	1.985714	1.985714	0.000000	0.000000	0	0	0
149	137	0	0	0.000000	1.540146	1.540146	0.000000	0.000000	0	0	0
150	139	0	0	0.000000	1.007194	1.007194	0.000000	0.000000	0	0	0
151	137	0	0	0.000000	1.715328	1.715328	0.000000	0.000000	0	0	0
152	62	0	0	0.000000	1.854839	1.854839	0.000000	0.000000	0	0	0
153	70	0	0	0.000000	1.885714	1.885714	0.000000	0.000000	0	0	0
154	151	0	0	0.000000	1.927152	1.927152	0.000000	0.000000	0	0	0
155	112	0	0	0.000000	1.875000	1.875000	0.000000	0.000000	0	0	0
156	72	0	0	0.000000	2.083333	2.083333	0.000000	0.000000	0	0	0
157	70	0	0	0.000000	1.728571	1.728571	0.000000	0.000000	0	0	0
158	70	0	0	0.000000	1.428571	1.428571	0.000000	0.000000	0	0	0
159	70	0	0	0.000000	1.671429	1.671429	0.000000	0.000000	0	0	0
160	174	0	0	0.000000	1.201149	1.201149	0.000000	0.000000	0	0	0
161	124	0	0	0.000000	1.129032	1.129032	0.000000	0.000000	0	0	0
162	69	0	0	0.000000	1.681159	1.681159	0.000000	0.000000	0	0	0
163	90	0	0	0.000000	1.911111	1.911111	0.000000	0.000000	0	0	0
164	73	0	0	0.000000	1.835616	1.835616	0.000000	0.000000	0	0	0
165	69	0	0	0.000000	1.753623	1.753623	0.000000	0.000000	0	0	0
166	71	0	0	0.000000	1.887324	1.887324	0.000000	0.000000	0	0	0
167	145	0	0	0.000000	1.406897	1.406897	0.000000	0.000000	0	0	0
168	71	0	0	0.000000	1.422535	1.422535	0.000000	0.000000	0	0	0
169	125	0	0	0.000000	1.416000	1.416000	0.000000	0.000000	0	0	0
170	70	0	0	0.000000	1.071429	1.071429	0.000000	0.000000	0	0	0
171	130	0	0	0.000000	1.615385	1.615385	0.000000	0.000000	0	0	0
172	70	0	0	0.000000	1.214286	1.214286	0.000000	0.000000	0	0	0
173	88	0	0	0.000000	1.579545	1.579545	0.000000	0.000000	0	0	0
174	63	0	0	0.000000	1.301587	1.301587	0.000000	0.000000	0	0	0
175	68	0	0	0.000000	1.735294	1.735294	0.000000	0.000000	0	0	0
176	70	0	0	0.000000	1.442857	1.442857	0.000000	0.000000	0	0	0
177	108	0	0	0.000000	1.490741	1.490741	0.000000	0.000000	0	0	0
178	93	0	0	0.000000	1.505376	1.505376	0.000000	0.000000	0	0	0
179	70	0	0	0.000000	1.571429	1.571429	0.000000	0.000000	0	0	0
180	118	0	0	0.000000	1.186441	1.186441	0.000000	0.000000	0	0	0
181	75	0	0	0.000000	1.600000	1.600000	0.000000	0.000000	0	0	0
